category,fold,slice,n,positives,negatives,coverage,prevalence,baseline_ap,parent_baseline_ap,collapse_delta,groups
Обувь,fold_01,all,4482,446,4036,1.0,0.0995091477019188,0.5788291810730476,0.5788291810730476,0.0,4300
Обувь,fold_01,name_exact,240,21,219,0.0535475234270415,0.0875,0.43652757423365907,0.5788291810730476,-0.14230160683938853,234
Обувь,fold_01,name_near,54,5,49,0.012048192771084338,0.09259259259259259,0.6248366013071895,0.5788291810730476,0.04600742023414195,46
Обувь,fold_01,name_other,4188,420,3768,0.9344042838018741,0.10028653295128939,0.5862473570066025,0.5788291810730476,0.007418175933554871,4040
Обувь,fold_01,attrs_present,4482,446,4036,1.0,0.0995091477019188,0.5788291810730476,0.5788291810730476,0.0,4300
Обувь,fold_01,brand_agree,538,146,392,0.12003569834895136,0.27137546468401486,0.6794075190749295,0.5788291810730476,0.10057833800188187,522
Обувь,fold_01,brand_conflict,475,32,443,0.10597947344935296,0.06736842105263158,0.645580791398237,0.5788291810730476,0.06675161032518939,469
Обувь,fold_01,brand_one_missing,3469,268,3201,0.7739848282016957,0.07725569328336697,0.5117979628160205,0.5788291810730476,-0.06703121825702707,3320
Обувь,fold_01,model_agree,59,5,54,0.013163766175814369,0.0847457627118644,0.8083333333333333,0.5788291810730476,0.22950415226028575,59
Обувь,fold_01,model_conflict,1218,171,1047,0.2717536813922356,0.14039408866995073,0.6536103724180397,0.5788291810730476,0.07478119134499206,1190
Обувь,fold_01,model_one_missing,3205,270,2935,0.7150825524319501,0.0842433697347894,0.5267407068723505,0.5788291810730476,-0.052088474200697066,3056
Обувь,fold_01,article_both_missing,3369,292,3077,0.7516733601070951,0.08667260314633422,0.5275995673853298,0.5788291810730476,-0.051229613687717834,3210
Обувь,fold_01,article_one_missing,1113,154,959,0.24832663989290496,0.13836477987421383,0.6819098324197721,0.5788291810730476,0.1030806513467245,1095
Обувь,fold_01,size_comparable_agree,396,60,336,0.08835341365461848,0.15151515151515152,0.5976941087777419,0.5788291810730476,0.01886492770469428,392
Обувь,fold_01,size_comparable_mismatch,3062,296,2766,0.6831771530566711,0.09666884389288047,0.5969430765044376,0.5788291810730476,0.01811389543138997,2954
Обувь,fold_01,size_not_comparable,1024,90,934,0.2284694332887104,0.087890625,0.5327777588585539,0.5788291810730476,-0.046051422214493654,983
