model,base,format,trained_on,optimizer,lr,max_len,epochs,num_labels,init,aggregate,split,category,prauc,n_pairs,n_pos
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Одежда,0.618612,5777,664
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Ювелирные изделия,0.662248,4540,578
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Обувь,0.628755,4616,436
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Электроника,0.786366,4656,810
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Канцелярские товары,0.817531,4403,1484
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Бытовая химия,0.921236,4360,2099
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Ювелирные изделия,0.600218,4824,586
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Товары для животных,0.913246,4560,1611
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Спорт и отдых,0.76778,4417,1173
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Бытовая техника,0.864864,4508,1623
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Красота и гигиена,0.852418,4390,1607
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Аптека,0.896091,4520,339
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Строительство и ремонт,0.847243,4492,957
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Одежда,0.634933,5946,691
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Обувь,0.614925,4622,443
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Автотовары,0.751227,4660,822
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Мебель,0.786436,4583,680
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Бытовая химия,0.930086,4400,2043
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Галантерея и аксессуары,0.764118,4567,774
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Товары для животных,0.917176,4580,1638
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Детские товары,0.921117,4370,2410
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Бытовая техника,0.857468,4350,1571
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Автотовары,0.726048,4786,856
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Обувь,0.607709,4642,488
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Красота и гигиена,0.838828,4377,1549
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Автотовары,0.732469,4808,841
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Канцелярские товары,0.823879,4381,1468
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Детские товары,0.929991,4430,2460
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Товары для животных,0.91314,4537,1629
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_01,Хобби и творчество,0.939475,4339,1990
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Одежда,0.612887,5837,675
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_02,Мебель,0.794142,4565,673
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Мебель,0.805463,4648,717
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Ювелирные изделия,0.647784,4666,586
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_03,Музыкальные инструменты,0.874633,4559,1056
mb_ce1_soup,deepvk/RuModernBERT-base,cross-encoder,folds,adan,1e-4,512,1,1,mb_llm_512,soup,val_fold_04,Ювелирные изделия,0.639946,4665,567
